IDN,Offline TA/TO,98
IND,Offline TA/TO,31.5
IRL,Offline TA/TO,121.663636363636
IRN,Offline TA/TO,93.4
IRQ,Offline TA/TO,36.3333333333333
ISL,Offline TA/TO,224.333333333333
ISR,Offline TA/TO,70.3333333333333
ITA,Offline TA/TO,92.0117302052786
JAM,Offline TA/TO,149
JOR,Offline TA/TO,123.5
JPN,Offline TA/TO,62.6666666666667
KAZ,Offline TA/TO,185.5
KNA,Offline TA/TO,405
KOR,Offline TA/TO,42
LBN,Offline TA/TO,26.6666666666667
LBY,Offline TA/TO,88
LCA,Offline TA/TO,268
LKA,Offline TA/TO,7
LTU,Offline TA/TO,144.277777777778
LUX,Offline TA/TO,115.333333333333
LVA,Offline TA/TO,134.384615384615
MAR,Offline TA/TO,67.1666666666667
MEX,Offline TA/TO,183.5
MLT,Offline TA/TO,79.5
MOZ,Offline TA/TO,242.769230769231
MYS,Offline TA/TO,112
NGA,Offline TA/TO,46
NLD,Offline TA/TO,94.1022727272727
NOR,Offline TA/TO,135.860465116279
NULL,Offline TA/TO,88.6857142857143
NZL,Offline TA/TO,186.333333333333
OMN,Offline TA/TO,98.1666666666667
PAN,Offline TA/TO,116
PER,Offline TA/TO,133
POL,Offline TA/TO,132.851851851852
PRT,Offline TA/TO,99.8988895382817
PYF,Offline TA/TO,159
QAT,Offline TA/TO,1
ROU,Offline TA/TO,121.732558139535
RUS,Offline TA/TO,80.8529411764706
SAU,Offline TA/TO,60.5
SDN,Offline TA/TO,6
SEN,Offline TA/TO,91
SGP,Offline TA/TO,41
SRB,Offline TA/TO,140.75
SVK,Offline TA/TO,135.333333333333
SVN,Offline TA/TO,74.25
SWE,Offline TA/TO,153.246753246753
SYC,Offline TA/TO,1
TGO,Offline TA/TO,14
THA,Offline TA/TO,86.75
TUN,Offline TA/TO,15.2
TUR,Offline TA/TO,83.8947368421053
TWN,Offline TA/TO,3
UKR,Offline TA/TO,61.1666666666667
URY,Offline TA/TO,151.5
USA,Offline TA/TO,102.132743362832
UZB,Offline TA/TO,8
VEN,Offline TA/TO,116
VNM,Offline TA/TO,69
ZAF,Offline TA/TO,236.75
ZWE,Offline TA/TO,15
ABW,Online TA,126
AGO,Online TA,33.6318407960199
AIA,Online TA,0
ALB,Online TA,116.6
AND,Online TA,48.6666666666667
ARE,Online TA,48.6818181818182
ARG,Online TA,75.0331125827815
ARM,Online TA,29.25
ASM,Online TA,89
ATA,Online TA,7
ATF,Online TA,116
AUS,Online TA,91.9888475836431
AUT,Online TA,101.213826366559
AZE,Online TA,64
BEL,Online TA,94.8043766578249
BEN,Online TA,274
BFA,Online TA,6
BGD,Online TA,35.4444444444444
BGR,Online TA,74.5625
BHR,Online TA,173.8
BIH,Online TA,39.5
BLR,Online TA,102.625
BOL,Online TA,12.6666666666667
BRA,Online TA,87.6470227133211
BWA,Online TA,91
CAF,Online TA,43.5
CHE,Online TA,89.6749585406302
CHL,Online TA,52.7843137254902
CHN,Online TA,44.4121715076072
CIV,Online TA,27.3333333333333
CMR,Online TA,102.857142857143
CN,Online TA,86.4759036144578
COL,Online TA,64.1454545454545
COM,Online TA,22.5
CPV,Online TA,34.3529411764706
CRI,Online TA,36.7142857142857
CUB,Online TA,5.5
CYM,Online TA,92
CYP,Online TA,86.2272727272727
CZE,Online TA,90.9791666666667
DEU,Online TA,100.825565168853
DJI,Online TA,0
DMA,Online TA,124
DNK,Online TA,114.630508474576
DOM,Online TA,169.333333333333
DZA,Online TA,44.6037735849057
ECU,Online TA,27.3846153846154
EGY,Online TA,64.7619047619048
ESP,Online TA,56.0335820895522
EST,Online TA,79.2777777777778
ETH,Online TA,10.5
FIN,Online TA,72.2744479495268
FJI,Online TA,322
FRA,Online TA,76.0911400982551
FRO,Online TA,267.333333333333
GAB,Online TA,63
GBR,Online TA,98.5181400102197
GEO,Online TA,96.2352941176471
GGY,Online TA,27.5
GHA,Online TA,36
GIB,Online TA,68.2142857142857
GLP,Online TA,103
GNB,Online TA,19
GRC,Online TA,96.3913043478261
GTM,Online TA,6.66666666666667
HKG,Online TA,80.304347826087
HND,Online TA,12
HRV,Online TA,67.030303030303
HUN,Online TA,95.4
IDN,Online TA,33.7777777777778
IMN,Online TA,176.5
IND,Online TA,49.7079646017699
IRL,Online TA,110.795018162948
IRN,Online TA,42.2758620689655
IRQ,Online TA,9.75
ISL,Online TA,61.8
ISR,Online TA,80.85
ITA,Online TA,85.2021413276231
JAM,Online TA,29.3333333333333
JEY,Online TA,123.875
JOR,Online TA,76.0909090909091
JPN,Online TA,61.2054794520548
KAZ,Online TA,48.6875
KEN,Online TA,74.6
KHM,Online TA,30
